date,rate_unit,title,from_currency,to_currency_name,frequency,time_format,rate,to_currency,from_currency_name
2022-10-31T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,1.008675,EUR,US dollar
2022-11-01T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,1.005328,EUR,US dollar
2022-11-02T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,1.009285,EUR,US dollar
2022-11-03T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,1.025326,EUR,US dollar
2022-11-04T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,1.012966,EUR,US dollar
2022-11-07T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,1.0007,EUR,US dollar
2022-11-08T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,1.0004,EUR,US dollar
2022-11-09T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,0.996115,EUR,US dollar
2022-11-10T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,1.004621,EUR,US dollar
2022-11-11T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,0.97012,EUR,US dollar
2022-11-14T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,0.969086,EUR,US dollar
2022-11-15T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,0.961169,EUR,US dollar
2022-11-16T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,0.96043,EUR,US dollar
2022-11-17T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,0.969086,EUR,US dollar
2022-11-18T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,0.964692,EUR,US dollar
2022-11-21T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,0.975991,EUR,US dollar
2022-11-22T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,0.973331,EUR,US dollar
2022-11-23T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,0.968523,EUR,US dollar
2022-11-24T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,0.960338,EUR,US dollar
2022-11-25T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,0.963855,EUR,US dollar
2022-11-28T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,0.955749,EUR,US dollar
2022-11-29T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,0.964692,EUR,US dollar
2022-11-30T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,0.963763,EUR,US dollar
2022-12-01T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,0.956572,EUR,US dollar
2022-12-02T00:00:00,EUR,US dollar/Euro,USD,Euro,D,P1D,0.948947,EUR,US dollar
