Week #,Store A,Store B,Store C,,,,
1,1,4,7,,,,
2,5,2,8,,,,
3,3,0,7,,,,
4,2,1,6,,,,
5,3,2,7,,,,
6,3,5,7,,,,
7,3,1,6,,,,
8,2,2,6,,,,
9,5,2,7,,,,
10,2,2,6,,,,
11,3,0,8,,,,
12,2,4,7,,,,
13,3,3,7,,,,
14,4,2,8,,,, 
15,2,3,7,,,,
16,1,3,6,,,,
17,3,3,6,,,,
18,4,3,5,,,,
19,4,1,6,,,,
20,3,4,5,,,,
21,2,2,8,,,,
22,4,0,7,,,,
23,4,0,6,,,,
24,3,2,7,,,,
25,4,1,7,,,,
26,1,2,5,,,,
27,2,3,6,,,,
28,3,1,6,,,,
29,4,1,8,,,,
30,4,2,5,,,,
31,1,0,7,,,,
32,2,1,7,,,,
33,3,0,7,,,,
34,4,4,7,,,,
35,5,2,7,,,,
36,5,3,7,,,,
37,1,0,5,,,,
38,5,1,8,,,,
39,5,2,5,,,,
40,1,2,6,,,,
41,2,1,7,,,,
42,3,1,6,,,,
43,3,2,8,,,,
44,3,4,8,,,,
45,4,1,7,,,,
46,1,1,7,,,,
47,2,1,6,,,,
48,3,1,5,,,,
49,4,1,6,,,,
50,2,0,7,,,,
,,,,,,,
Min,1,0,5,,,,
Median,3,2,7,,,,
Mode,3,1,7,,,,
Mean,2.96,1.78,6.6,,,,
Max,5,5,8,,,,
Range,4,5,3,,,,
Std,1.23,1.28,0.93,,,,
COV,0.41,0.72,0.14,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,`,,,,
