No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"barbearia ipiranga","320","R$1,55","11","40"
2,"barbearia no ipiranga","90","R$2,70","33","23"
3,"drive barbearia ipiranga","70","R$0","2","14"
4,"barbearia ipiranga sp","50","R$3,35","15","18"
5,"barbearia drive ipiranga","30","R$0","6","15"
6,"barbearia ipiranga mogi das cruzes","30","R$1,11","1","6"
7,"barbearia bom pastor ipiranga","20","R$1,95","5","7"
8,"barbearia navarro ipiranga","20","R$2,38","12","17"
9,"drive barbearia i ipiranga","20","R$0","1","5"
10,"barbearia bruni ipiranga","10","R$2,25","12","17"
11,"barbearia rua bom pastor ipiranga","10","R$0","4","7"
12,"barbearia no ipiranga sp","10","R$1,18","57","23"
13,"barbearia ipiranga silva bueno","10","R$0","3","7"
14,"barbearia ipiranga bh","0","R$0","1","12"
15,"barbearia no bairro do ipiranga","0","R$0","1","4"
16,"barbearia alto do ipiranga","0","R$0","1","4"
17,"barbearia alto do ipiranga mogi das cruzes","0","R$0","1","4"
18,"barbearia dom manoel ipiranga","0","R$0","1","4"
19,"barbearia el patron ipiranga","0","R$0","1","4"
20,"melhor barbearia do ipiranga","0","R$0","1","4"
21,"barbearia mr navarro ipiranga","0","R$0","1","4"
22,"barbearia d'carlos ipiranga","0","R$0","1","12"
23,"barbearia bairro ipiranga","0","R$0","1","12"
24,"barbearia de ipiranga","0","R$0","1","12"
25,"barbearia bourbon ipiranga","0","R$0","1","12"
26,"barbearia alto ipiranga","0","R$0","1","12"
27,"barbearia rua ipiranga campos dos goytacazes","0","R$0","1","4"
28,"barbearia vila ipiranga","0","R$0","1","12"
