query;name;site;type;subtypes;category;phone;full_address;borough;street;city;postal_code;state;us_state;country;country_code;latitude;longitude;time_zone;plus_code;rating;reviews;reviews_link;reviews_tags;reviews_per_score;reviews_per_score_1;reviews_per_score_2;reviews_per_score_3;reviews_per_score_4;reviews_per_score_5;photos_count;photo;street_view;located_in;working_hours;working_hours_old_format;other_hours;popular_times;business_status;about;range;posts;logo;description;verified;owner_id;owner_title;owner_link;reservation_links;booking_appointment_link;menu_link;order_links;location_link;place_id;google_id;cid;reviews_id;located_google_id
barbershop, Ipiranga, São Paulo SP Brazil;Barbearia Ipiranga;http://barbeariaipiranga.com/;Barber shop;Barber shop;Barbearia;+55 11 2658-4879;R. Silva Bueno, 691 - Ipiranga, São Paulo - SP, 04208-050;Ipiranga;R. Silva Bueno, 691;São Paulo;04208-050;State of São Paulo;;Brazil;BR;-23,5844272;-46,6018742;America/Sao_Paulo;;4,9;184;https://search.google.com/local/reviews?placeid=ChIJcSBPoPpbzpQRibM5PTmhkNo&q=barbershop,+Ipiranga,+S%C3%A3o+Paulo+SP+Brazil&authuser=0&hl=en&gl=BR;;"{""1"": 0, ""2"": 0, ""3"": 3, ""4"": 17, ""5"": 164}";0;0;3;17;164;23;https://lh5.googleusercontent.com/p/AF1QipOfrOFzYAAxPWHhd38jsam0GSLAjfpgPPrInekL=w800-h500-k-no;https://lh5.googleusercontent.com/p/AF1QipOfrOFzYAAxPWHhd38jsam0GSLAjfpgPPrInekL=w1600-h1000-k-no;;"{""Monday"": ""10AM-8PM"", ""Tuesday"": ""10AM-8PM"", ""Wednesday"": ""10AM-8PM"", ""Thursday"": ""10AM-8PM"", ""Friday"": ""10AM-8PM"", ""Saturday"": ""9AM-6PM"", ""Sunday"": ""Closed""}";Monday: 10AM-8PM | Tuesday: 10AM-8PM | Wednesday: 10AM-8PM | Thursday: 10AM-8PM | Friday: 10AM-8PM | Saturday: 9AM-6PM | Sunday: Closed;;;OPERATIONAL;"{""Accessibility"": {""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Gender-neutral toilets"": true, ""Toilets"": true}}";;;https://lh6.googleusercontent.com/-CNXQHYuAsPE/AAAAAAAAAAI/AAAAAAAAAAA/9fG7NCCh4BA/s44-p-k-no-ns-nd/photo.jpg;;TRUE;115738933210363756704;Barbearia Ipiranga;https://www.google.com/maps/contrib/115738933210363756704;;http://wa.me/5511989922927;;;https://www.google.com/maps/place/Barbearia+Ipiranga/@-23.5844272,-46.6018742,14z/data=!4m8!1m2!2m1!1sBarbearia+Ipiranga!3m4!1s0x94ce5bfaa04f2071:0xda90a1393d39b389!8m2!3d-23.5844272!4d-46.6018742;ChIJcSBPoPpbzpQRibM5PTmhkNo;0x94ce5bfaa04f2071:0xda90a1393d39b389;1,57493E+19;-2697478909582527607;
barbershop, Ipiranga, São Paulo SP Brazil;Rock Barba - Barbearia;https://www.facebook.com/rockbarbabarbearia/;Barber shop;Barber shop;Barbearia;+55 11 94658-0369;R. Cipriano Barata, 622 - Ipiranga, São Paulo - SP, 04205-000;Ipiranga;R. Cipriano Barata, 622;São Paulo;04205-000;State of São Paulo;;Brazil;BR;-23,5748833;-46,6065876;America/Sao_Paulo;;4,9;86;https://search.google.com/local/reviews?placeid=ChIJCefa1lhZzpQRaxpCSi6InLo&q=barbershop,+Ipiranga,+S%C3%A3o+Paulo+SP+Brazil&authuser=0&hl=en&gl=BR;;"{""1"": 0, ""2"": 0, ""3"": 2, ""4"": 6, ""5"": 78}";0;0;2;6;78;11;https://lh5.googleusercontent.com/p/AF1QipOc7OFpeu9JzH8RCj023g_7puM0zdnIZVWV1AZa=w800-h500-k-no;https://lh5.googleusercontent.com/p/AF1QipOc7OFpeu9JzH8RCj023g_7puM0zdnIZVWV1AZa=w1600-h1000-k-no;;"{""Monday"": ""9AM-7PM"", ""Tuesday"": ""10:30AM-8PM"", ""Wednesday"": ""9AM-7PM"", ""Thursday"": ""9AM-7PM"", ""Friday"": ""9AM-8PM"", ""Saturday"": ""9AM-8PM"", ""Sunday"": ""Closed""}";Monday: 9AM-7PM | Tuesday: 10:30AM-8PM | Wednesday: 9AM-7PM | Thursday: 9AM-7PM | Friday: 9AM-8PM | Saturday: 9AM-8PM | Sunday: Closed;;;OPERATIONAL;"{""Accessibility"": {""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Toilets"": true}}";;;https://lh3.googleusercontent.com/-DnXQ6gakJbQ/AAAAAAAAAAI/AAAAAAAAAAA/iigjjDv3QHU/s44-p-k-no-ns-nd/photo.jpg;;TRUE;104660862439770765544;Rock Barba - Barbearia;https://www.google.com/maps/contrib/104660862439770765544;;http://rockbarba-barbearia.booksy.net/;;;https://www.google.com/maps/place/Rock+Barba+-+Barbearia/@-23.5748833,-46.6065876,14z/data=!4m8!1m2!2m1!1sRock+Barba+-+Barbearia!3m4!1s0x94ce5958d6dae709:0xba9c882e4a421a6b!8m2!3d-23.5748833!4d-46.6065876;ChIJCefa1lhZzpQRaxpCSi6InLo;0x94ce5958d6dae709:0xba9c882e4a421a6b;1,34468E+19;-4999971753892373909;
barbershop, Ipiranga, São Paulo SP Brazil;Mr. Navarro Barber Shop;http://www.barbeariamrnavarro.com.br/;Barber shop;Barber shop;Barbearia;+55 11 3805-6558;R. Xavier Curado, 162 - Ipiranga, São Paulo - SP, 04210-100;Ipiranga;R. Xavier Curado, 162;São Paulo;04210-100;State of São Paulo;;Brazil;BR;-23,5847607;-46,6070894;America/Sao_Paulo;;4,8;356;https://search.google.com/local/reviews?placeid=ChIJc7z10OVbzpQRo3w2ZoMOU_A&q=barbershop,+Ipiranga,+S%C3%A3o+Paulo+SP+Brazil&authuser=0&hl=en&gl=BR;;"{""1"": 6, ""2"": 3, ""3"": 7, ""4"": 40, ""5"": 300}";6;3;7;40;300;248;https://lh5.googleusercontent.com/p/AF1QipNpb5cUmllDTSwYWTX46y6NEoV5mQQo_T1azu-s=w800-h500-k-no;https://lh5.googleusercontent.com/p/AF1QipNpb5cUmllDTSwYWTX46y6NEoV5mQQo_T1azu-s=w1600-h1000-k-no;;"{""Monday"": ""10AM-8PM"", ""Tuesday"": ""10AM-8PM"", ""Wednesday"": ""10AM-8PM"", ""Thursday"": ""10AM-8PM"", ""Friday"": ""10AM-8PM"", ""Saturday"": ""9AM-6PM"", ""Sunday"": ""Closed""}";Monday: 10AM-8PM | Tuesday: 10AM-8PM | Wednesday: 10AM-8PM | Thursday: 10AM-8PM | Friday: 10AM-8PM | Saturday: 9AM-6PM | Sunday: Closed;;;OPERATIONAL;"{""From the business"": {""Identifies as women-owned"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible toilet"": true}, ""Amenities"": {""Toilets"": true}}";;;https://lh3.googleusercontent.com/-IY-tQalvFXI/AAAAAAAAAAI/AAAAAAAAAAA/tGCzS5gawQQ/s44-p-k-no-ns-nd/photo.jpg;;TRUE;103987905820929892317;Mr. Navarro Barber Shop;https://www.google.com/maps/contrib/103987905820929892317;;http://www.salaovip.com.br/mrnavarrobarbearia;;;https://www.google.com/maps/place/Mr.+Navarro+Barber+Shop/@-23.5847607,-46.6070894,14z/data=!4m8!1m2!2m1!1sMr.+Navarro+Barber+Shop!3m4!1s0x94ce5be5d0f5bc73:0xf0530e8366367ca3!8m2!3d-23.5847607!4d-46.6070894;ChIJc7z10OVbzpQRo3w2ZoMOU_A;0x94ce5be5d0f5bc73:0xf0530e8366367ca3;1,73172E+19;-1129543124021511005;
barbershop, Ipiranga, São Paulo SP Brazil;Barbearia do Max;;Barber shop;Barber shop;Barbearia;+55 11 94509-3927;R. Bom Pastor, 1464 - Ipiranga, São Paulo - SP, 04203-001;Ipiranga;R. Bom Pastor, 1464;São Paulo;04203-001;State of São Paulo;;Brazil;BR;-23,5894255;-46,6074078;America/Sao_Paulo;;4,9;111;https://search.google.com/local/reviews?placeid=ChIJz7wSWsRbzpQRsgHUo4l8qPM&q=barbershop,+Ipiranga,+S%C3%A3o+Paulo+SP+Brazil&authuser=0&hl=en&gl=BR;;"{""1"": 1, ""2"": 0, ""3"": 2, ""4"": 5, ""5"": 103}";1;0;2;5;103;30;https://lh5.googleusercontent.com/p/AF1QipOEVzDSeq16-W7rkBFEbvVIqxGadE0MgsT7DQPq=w800-h500-k-no;https://lh5.googleusercontent.com/p/AF1QipOEVzDSeq16-W7rkBFEbvVIqxGadE0MgsT7DQPq=w1600-h1000-k-no;;"{""Monday"": ""10AM-7PM"", ""Tuesday"": ""10AM-7PM"", ""Wednesday"": ""10AM-7PM"", ""Thursday"": ""10AM-7PM"", ""Friday"": ""10AM-8PM"", ""Saturday"": ""10AM-8PM"", ""Sunday"": ""10AM-3PM""}";Monday: 10AM-7PM | Tuesday: 10AM-7PM | Wednesday: 10AM-7PM | Thursday: 10AM-7PM | Friday: 10AM-8PM | Saturday: 10AM-8PM | Sunday: 10AM-3PM;;;OPERATIONAL;"{""Accessibility"": {""Wheelchair-accessible car park"": false, ""Wheelchair-accessible entrance"": false}, ""Amenities"": {""Toilets"": true}}";;;https://lh5.googleusercontent.com/-lhALUmp-16Q/AAAAAAAAAAI/AAAAAAAAAAA/ceEUAsGZXso/s44-p-k-no-ns-nd/photo.jpg;;TRUE;110158207215592431826;Barbearia do Max;https://www.google.com/maps/contrib/110158207215592431826;;https://agendamento.salaovip.com.br/?slug=barbeariadomaxx#/app/widget/barbeariadomaxx;;;https://www.google.com/maps/place/Barbearia+do+Max/@-23.589425499999997,-46.6074078,14z/data=!4m8!1m2!2m1!1sBarbearia+do+Max!3m4!1s0x94ce5bc45a12bccf:0xf3a87c89a3d401b2!8m2!3d-23.589425499999997!4d-46.6074078;ChIJz7wSWsRbzpQRsgHUo4l8qPM;0x94ce5bc45a12bccf:0xf3a87c89a3d401b2;1,75574E+19;-889323995804728910;
barbershop, Ipiranga, São Paulo SP Brazil;Barbearia Dom Valentino;http://www.barbeariadomvalentino.com/;Barber shop;Barber shop;Barbearia;+55 11 95303-5567;Rua Bamboré, 222 - Ipiranga, São Paulo - SP, 04278-060;Ipiranga;Rua Bamboré, 222;São Paulo;04278-060;State of São Paulo;;Brazil;BR;-23,599984;-46,6084957;America/Sao_Paulo;;5;105;https://search.google.com/local/reviews?placeid=ChIJmTjX6JVbzpQRvj82udzEzvY&q=barbershop,+Ipiranga,+S%C3%A3o+Paulo+SP+Brazil&authuser=0&hl=en&gl=BR;;"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 5, ""5"": 100}";0;0;0;5;100;45;https://lh5.googleusercontent.com/p/AF1QipOmFi3fJUOh1AMmQ6CbEehU0_XCtgLPFHIVXBvb=w800-h500-k-no;https://lh5.googleusercontent.com/p/AF1QipOmFi3fJUOh1AMmQ6CbEehU0_XCtgLPFHIVXBvb=w1600-h1000-k-no;;"{""Monday"": ""10AM-7PM"", ""Tuesday"": ""10AM-8PM"", ""Wednesday"": ""10AM-8PM"", ""Thursday"": ""10AM-8PM"", ""Friday"": ""10AM-8PM"", ""Saturday"": ""10AM-5PM"", ""Sunday"": ""Closed""}";Monday: 10AM-7PM | Tuesday: 10AM-8PM | Wednesday: 10AM-8PM | Thursday: 10AM-8PM | Friday: 10AM-8PM | Saturday: 10AM-5PM | Sunday: Closed;;;OPERATIONAL;"{""From the business"": {""Identifies as women-owned"": true}, ""Health and safety"": {""Appointment required"": true, ""Mask required"": true, ""Temperature check required"": true, ""Staff wear masks"": true, ""Staff get temperature checks"": true, ""Staff required to disinfect surfaces between visits"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Toilets"": true}}";;;https://lh3.googleusercontent.com/-Z1cHLI961fc/AAAAAAAAAAI/AAAAAAAAAAA/sRfTh-Y10zU/s44-p-k-no-ns-nd/photo.jpg;;TRUE;114583709254978759170;Barbearia Dom Valentino;https://www.google.com/maps/contrib/114583709254978759170;;;;;https://www.google.com/maps/place/Barbearia+Dom+Valentino/@-23.599984,-46.6084957,14z/data=!4m8!1m2!2m1!1sBarbearia+Dom+Valentino!3m4!1s0x94ce5b95e8d73899:0xf6cec4dcb9363fbe!8m2!3d-23.599984!4d-46.6084957;ChIJmTjX6JVbzpQRvj82udzEzvY;0x94ce5b95e8d73899:0xf6cec4dcb9363fbe;1,77844E+19;-662375642897694786;
barbershop, Ipiranga, São Paulo SP Brazil;Drive Barber I Ipiranga;http://www.drivebarbearia.com.br/;Barber shop;Barber shop;Barbearia;+55 11 2591-2489;R. Bom Pastor, 2351 - Ipiranga, São Paulo - SP, 04203-002;Ipiranga;R. Bom Pastor, 2351;São Paulo;04203-002;State of São Paulo;;Brazil;BR;-23,5971857;-46,6056348;America/Sao_Paulo;;4,4;393;https://search.google.com/local/reviews?placeid=ChIJq6pOA5NbzpQRuRWcBQVW2o0&q=barbershop,+Ipiranga,+S%C3%A3o+Paulo+SP+Brazil&authuser=0&hl=en&gl=BR;;"{""1"": 28, ""2"": 6, ""3"": 16, ""4"": 68, ""5"": 275}";28;6;16;68;275;47;https://lh5.googleusercontent.com/p/AF1QipNAiw1JTSr5neS2yPIqDVVvHBGaTBrWkiw43cdh=w800-h500-k-no;https://lh5.googleusercontent.com/p/AF1QipNAiw1JTSr5neS2yPIqDVVvHBGaTBrWkiw43cdh=w1600-h1000-k-no;;"{""Monday"": ""10AM-8PM"", ""Tuesday"": ""10AM-8PM"", ""Wednesday"": ""10AM-8PM"", ""Thursday"": ""10AM-8PM"", ""Friday"": ""10AM-8PM"", ""Saturday"": ""10AM-8PM"", ""Sunday"": ""10AM-3PM""}";Monday: 10AM-8PM | Tuesday: 10AM-8PM | Wednesday: 10AM-8PM | Thursday: 10AM-8PM | Friday: 10AM-8PM | Saturday: 10AM-8PM | Sunday: 10AM-3PM;;;OPERATIONAL;"{""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible lift"": true, ""Wheelchair-accessible car park"": false}, ""Amenities"": {""Gender-neutral toilets"": true, ""Toilets"": true}}";;;https://lh3.googleusercontent.com/-_7cfBRz_4Ok/AAAAAAAAAAI/AAAAAAAAAAA/WaGPtGkRs1A/s44-p-k-no-ns-nd/photo.jpg;;TRUE;115030596890281488711;Drive Barber I Ipiranga;https://www.google.com/maps/contrib/115030596890281488711;;;;;https://www.google.com/maps/place/Drive+Barber+I+Ipiranga/@-23.5971857,-46.6056348,14z/data=!4m8!1m2!2m1!1sDrive+Barber+I+Ipiranga!3m4!1s0x94ce5b93034eaaab:0x8dda5605059c15b9!8m2!3d-23.5971857!4d-46.6056348;ChIJq6pOA5NbzpQRuRWcBQVW2o0;0x94ce5b93034eaaab:0x8dda5605059c15b9;1,02216E+19;-8225167189869849159;
barbershop, Ipiranga, São Paulo SP Brazil;Barbearia El Patron;http://www.barbeariaelpatron.com.br/;Barber shop;Barber shop;Barbearia;+55 11 3876-5787;R. Silva Bueno, 1190 - Ipiranga, São Paulo - SP, 04208-000;Ipiranga;R. Silva Bueno, 1190;São Paulo;04208-000;State of São Paulo;;Brazil;BR;-23,5889412;-46,6016563;America/Sao_Paulo;;4,8;266;https://search.google.com/local/reviews?placeid=ChIJmWiYi_FbzpQRwddCjjZqqu0&q=barbershop,+Ipiranga,+S%C3%A3o+Paulo+SP+Brazil&authuser=0&hl=en&gl=BR;;"{""1"": 3, ""2"": 4, ""3"": 7, ""4"": 24, ""5"": 228}";3;4;7;24;228;82;https://lh5.googleusercontent.com/p/AF1QipPHjpIVSSF_1sQYfMqf_FCYESzJiOrSF_VKRYpv=w800-h500-k-no;https://lh5.googleusercontent.com/p/AF1QipPHjpIVSSF_1sQYfMqf_FCYESzJiOrSF_VKRYpv=w1600-h1000-k-no;;"{""Monday"": ""10AM-8PM"", ""Tuesday"": ""10AM-8PM"", ""Wednesday"": ""10AM-8PM"", ""Thursday"": ""10AM-8PM"", ""Friday"": ""10AM-8PM"", ""Saturday"": ""10AM-6PM"", ""Sunday"": ""Closed""}";Monday: 10AM-8PM | Tuesday: 10AM-8PM | Wednesday: 10AM-8PM | Thursday: 10AM-8PM | Friday: 10AM-8PM | Saturday: 10AM-6PM | Sunday: Closed;;;OPERATIONAL;"{""Accessibility"": {""Wheelchair-accessible car park"": false, ""Wheelchair-accessible entrance"": false}, ""Amenities"": {""Toilets"": true}}";;;https://lh6.googleusercontent.com/-YxrdX_bUb3s/AAAAAAAAAAI/AAAAAAAAAAA/Eqb63hJvM-w/s44-p-k-no-ns-nd/photo.jpg;;TRUE;105365786665856636614;Barbearia El Patron;https://www.google.com/maps/contrib/105365786665856636614;;;;;https://www.google.com/maps/place/Barbearia+El+Patron/@-23.588941199999997,-46.601656299999995,14z/data=!4m8!1m2!2m1!1sBarbearia+El+Patron!3m4!1s0x94ce5bf18b986899:0xedaa6a368e42d7c1!8m2!3d-23.588941199999997!4d-46.601656299999995;ChIJmWiYi_FbzpQRwddCjjZqqu0;0x94ce5bf18b986899:0xedaa6a368e42d7c1;1,71256E+19;-1321126758132295743;
barbershop, Ipiranga, São Paulo SP Brazil;Perfect Barber;;Barber shop;Barber shop;Barbearia;+55 11 96369-2042;R. Bom Pastor, 385 - Ipiranga, São Paulo - SP, 04203-050;Ipiranga;R. Bom Pastor, 385;São Paulo;04203-050;State of São Paulo;;Brazil;BR;-23,5797403;-46,6081224;America/Sao_Paulo;;4,7;34;https://search.google.com/local/reviews?placeid=ChIJ9VoleeFbzpQRZJ4xGxU1MJE&q=barbershop,+Ipiranga,+S%C3%A3o+Paulo+SP+Brazil&authuser=0&hl=en&gl=BR;;"{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 2, ""5"": 29}";1;1;1;2;29;28;https://lh5.googleusercontent.com/p/AF1QipMZOJmNJfLK7DAFDjzDO3lwtdHDtAG6n1Blj8C5=w800-h500-k-no;https://lh5.googleusercontent.com/p/AF1QipMZOJmNJfLK7DAFDjzDO3lwtdHDtAG6n1Blj8C5=w1600-h1000-k-no;;"{""Monday"": ""Closed"", ""Tuesday"": ""9AM-8PM"", ""Wednesday"": ""9AM-8PM"", ""Thursday"": ""9AM-8PM"", ""Friday"": ""9AM-8PM"", ""Saturday"": ""9AM-8PM"", ""Sunday"": ""Closed""}";Monday: Closed | Tuesday: 9AM-8PM | Wednesday: 9AM-8PM | Thursday: 9AM-8PM | Friday: 9AM-8PM | Saturday: 9AM-8PM | Sunday: Closed;;;OPERATIONAL;"{""Amenities"": {""Toilets"": true}}";;;https://lh4.googleusercontent.com/-Co28x89DTJk/AAAAAAAAAAI/AAAAAAAAAAA/Y0o0OF6ORkQ/s44-p-k-no-ns-nd/photo.jpg;;TRUE;102996189663161546584;Perfect Barber;https://www.google.com/maps/contrib/102996189663161546584;;;;;https://www.google.com/maps/place/Perfect+Barber/@-23.579740299999997,-46.6081224,14z/data=!4m8!1m2!2m1!1sPerfect+Barber!3m4!1s0x94ce5be179255af5:0x913035151b319e64!8m2!3d-23.579740299999997!4d-46.6081224;ChIJ9VoleeFbzpQRZJ4xGxU1MJE;0x94ce5be179255af5:0x913035151b319e64;1,04619E+19;-7984823774561067420;
barbershop, Ipiranga, São Paulo SP Brazil;Freak Barbers Kustom House;https://avec.app/freakbarbers;Barber shop;Barber shop;Barbearia;+55 11 2373-1380;Rua Arcipreste Ezequias, 245 - Ipiranga, São Paulo - SP, 04271-060;Ipiranga;Rua Arcipreste Ezequias, 245;São Paulo;04271-060;State of São Paulo;;Brazil;BR;-23,5881911;-46,6165826;America/Sao_Paulo;;4,9;109;https://search.google.com/local/reviews?placeid=ChIJlSHdg-JbzpQR7moT2Mv4ZzM&q=barbershop,+Ipiranga,+S%C3%A3o+Paulo+SP+Brazil&authuser=0&hl=en&gl=BR;;"{""1"": 1, ""2"": 0, ""3"": 0, ""4"": 11, ""5"": 97}";1;0;0;11;97;140;https://lh5.googleusercontent.com/p/AF1QipPBF9M99jCdGKKELPxEhwAj_IpcEFg4sCE94PGn=w800-h500-k-no;https://lh5.googleusercontent.com/p/AF1QipPBF9M99jCdGKKELPxEhwAj_IpcEFg4sCE94PGn=w1600-h1000-k-no;;"{""Monday"": ""Closed"", ""Tuesday"": ""10AM-8PM"", ""Wednesday"": ""10AM-8PM"", ""Thursday"": ""10AM-8PM"", ""Friday"": ""10AM-8PM"", ""Saturday"": ""10AM-6PM"", ""Sunday"": ""Closed""}";Monday: Closed | Tuesday: 10AM-8PM | Wednesday: 10AM-8PM | Thursday: 10AM-8PM | Friday: 10AM-8PM | Saturday: 10AM-6PM | Sunday: Closed;;;OPERATIONAL;"{""Accessibility"": {""Wheelchair-accessible car park"": false, ""Wheelchair-accessible entrance"": false}, ""Amenities"": {""Toilets"": true}}";;;https://lh3.googleusercontent.com/-5scclL4OL-I/AAAAAAAAAAI/AAAAAAAAAAA/rcc0J8ltY_M/s44-p-k-no-ns-nd/photo.jpg;;TRUE;105746246520823965537;Freak Barbers Kustom House;https://www.google.com/maps/contrib/105746246520823965537;;;;;https://www.google.com/maps/place/Freak+Barbers+Kustom+House/@-23.5881911,-46.6165826,14z/data=!4m8!1m2!2m1!1sFreak+Barbers+Kustom+House!3m4!1s0x94ce5be283dd2195:0x3367f8cbd8136aee!8m2!3d-23.5881911!4d-46.6165826;ChIJlSHdg-JbzpQR7moT2Mv4ZzM;0x94ce5be283dd2195:0x3367f8cbd8136aee;3,7042E+18;3704202772922723054;
barbershop, Ipiranga, São Paulo SP Brazil;Barbearia GG;;Barber shop;Barber shop;Barbearia;+55 11 98501-4475;R. do Manifesto, 2222 - Ipiranga, São Paulo - SP, 04209-002;Ipiranga;R. do Manifesto, 2222;São Paulo;04209-002;State of São Paulo;;Brazil;BR;-23,5930522;-46,5999971;America/Sao_Paulo;;4,8;70;https://search.google.com/local/reviews?placeid=ChIJw6HIMfNbzpQRmyybXklm914&q=barbershop,+Ipiranga,+S%C3%A3o+Paulo+SP+Brazil&authuser=0&hl=en&gl=BR;;"{""1"": 0, ""2"": 1, ""3"": 2, ""4"": 5, ""5"": 62}";0;1;2;5;62;27;https://lh5.googleusercontent.com/p/AF1QipMLiKROiCYi2OTOA15QF7UbmOGx7V8LL2AGknvh=w800-h500-k-no;https://lh5.googleusercontent.com/p/AF1QipMLiKROiCYi2OTOA15QF7UbmOGx7V8LL2AGknvh=w1600-h1000-k-no;;"{""Monday"": ""9AM-8PM"", ""Tuesday"": ""9AM-8PM"", ""Wednesday"": ""9AM-8PM"", ""Thursday"": ""9AM-8PM"", ""Friday"": ""9AM-8PM"", ""Saturday"": ""9AM-8PM"", ""Sunday"": ""Closed""}";Monday: 9AM-8PM | Tuesday: 9AM-8PM | Wednesday: 9AM-8PM | Thursday: 9AM-8PM | Friday: 9AM-8PM | Saturday: 9AM-8PM | Sunday: Closed;;;OPERATIONAL;"{""Health and safety"": {""Mask required"": true, ""Staff wear masks"": true, ""Staff required to disinfect surfaces between visits"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Toilets"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}}";;;https://lh6.googleusercontent.com/-zwhEjsBdWEQ/AAAAAAAAAAI/AAAAAAAAAAA/HD9TkKDy-UI/s44-p-k-no-ns-nd/photo.jpg;;TRUE;108765687103424678523;Barbearia GG;https://www.google.com/maps/contrib/108765687103424678523;;;;;https://www.google.com/maps/place/Barbearia+GG/@-23.5930522,-46.599997099999996,14z/data=!4m8!1m2!2m1!1sBarbearia+GG!3m4!1s0x94ce5bf331c8a1c3:0x5ef766495e9b2c9b!8m2!3d-23.5930522!4d-46.599997099999996;ChIJw6HIMfNbzpQRmyybXklm914;0x94ce5bf331c8a1c3:0x5ef766495e9b2c9b;6,84305E+18;6843050624118631579;
