Tickers;Long Company Name;Last Sale Price;Common Dividends Paid;Repurchase of Common Stock;Net Income to Company;Total Assets;Total Debt;Cash And Equivalents;LTM EBITDA;Market Capitalization;Total Enterprise Value;Shares Outstanding;Total Equity;Paid Dividend;Repurchase of Stock ;Dividend Yield (%);Payout Dividendos;Payout Recompra;MB;CASH;ROA;Net Debt;DEBT;Year
BOVESPA:RRRP3;3R Petroleum Óleo e Gás S.A. (BOVESPA:RRRP3);33,55;0,00;0,00;15,99;5453,00;73,94;118,73;360,30;6797,00;6306,90;202,60;4175,00;0,00;0,00;0,00;0,00;0,00;1,63;0,02;0,00;-45,00;0,01;2021,00
BOVESPA:CSAN3;Cosan S.A. (BOVESPA:CSAN3);21,69;-1841,50;-34,50;6350,78;97842,00;48926,70;16174,10;5614,50;40516,40;79976,10;1868,00;28870,00;1,00;1,00;0,05;0,29;0,01;1,40;0,17;0,07;32753,00;0,50;2021,00
BOVESPA:DMMO3;Dommo Energia S.A. (BOVESPA:DMMO3);0,52;0,00;0,00;56,81;231,00;0,20;12,20;625,60;161,20;146,80;310,10;-547,00;0,00;0,00;0,00;0,00;0,00;-0,29;0,05;0,25;-12,00;0,00;2021,00
BOVESPA:ENAT3;Enauta Participações S.A. (BOVESPA:ENAT3);13,31;-51,00;0,00;1444,57;6689,00;797,20;830,40;949,40;3502,10;2036,10;263,10;4166,00;1,00;0,00;0,01;0,04;0,00;0,84;0,12;0,22;-33,00;0,12;2021,00
BOVESPA:PETR4;Petróleo Brasileiro S.A. - Petrobras (BOVESPA:PETR4);28,45;-72153,00;0,00;107264,00;972951,00;327818,00;58410,00;218741,00;387852,50;656028,50;13044,20;389581,00;1,00;0,00;0,19;0,67;0,00;1,00;0,06;0,11;269408,00;0,34;2021,00
BOVESPA:RECV3;Petroreconcavo S.A. (BOVESPA:RECV3);18,70;0,00;-5,50;176,90;4715,00;754,20;217,20;515,70;4644,60;4290,70;248,40;1872,00;0,00;1,00;0,00;0,00;0,03;2,48;0,05;0,04;537,00;0,16;2021,00
BOVESPA:PRIO3;Petro Rio S.A. (BOVESPA:PRIO3);20,67;0,00;0,00;1333,05;12221,00;3901,30;970,70;2930,00;17347,40;16846,20;839,30;6620,00;0,00;0,00;0,00;0,00;0,00;2,62;0,08;0,11;2931,00;0,32;2021,00
BOVESPA:UGPA3;Ultrapar Participações S.A. (BOVESPA:UGPA3);14,54;-705,80;0,00;883,88;39010,00;17729,50;2280,10;2119,30;15854,00;28730,30;1090,40;10469,00;1,00;0,00;0,04;0,80;0,00;1,51;0,06;0,02;15449,00;0,45;2021,00
BOVESPA:VBBR3;Vibra Energia S.A. (BOVESPA:VBBR3);21,40;-2761,00;-916,00;2497,00;33884,00;14362,00;3625,00;3713,00;24341,00;33099,00;1137,40;12308,00;1,00;1,00;0,11;1,11;0,37;1,98;0,11;0,07;10737,00;0,42;2021,00
BOVESPA:OSXB3;OSX Brasil S.A. (BOVESPA:OSXB3);6,82;0,00;0,00;122,86;2231,00;5340,40;4,80;-63,50;21,50;5400,30;3,10;-5337,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,06;5336,00;2,39;2021,00
BOVESPA:BRAP3;Bradespar S.A. (BOVESPA:BRAP3);21,78;-4020,30;0,00;8079,26;7554,00;1,10;294,70;0,00;9380,50;6826,50;393,10;7503,00;1,00;0,00;0,43;0,50;0,00;1,25;0,04;1,07;-294,00;0,00;2021,00
BOVESPA:CBAV3;Companhia Brasileira de Alumínio (BOVESPA:CBAV3);13,67;-11,40;-407,00;837,73;11965,00;3150,80;1449,30;1682,60;8145,00;10025,50;595,80;4716,00;1,00;1,00;0,00;0,01;0,49;1,73;0,12;0,07;1701,00;0,26;2021,00
BOVESPA:CMIN3;CSN Mineração S.A. (BOVESPA:CMIN3);6,74;-3204,70;-651,00;6370,97;26991,00;4860,70;10716,80;10163,20;37278,00;29999,50;5530,90;13998,00;1,00;1,00;0,09;0,50;0,10;2,66;0,40;0,24;-5856,00;0,18;2021,00
BOVESPA:VALE3;Vale S.A. (BOVESPA:VALE3);77,96;-73112,00;-29121,00;121343,00;499128,00;99943,00;65409,00;180934,00;381375,70;417917,70;4891,90;197058,00;1,00;1,00;0,19;0,60;0,24;1,94;0,13;0,24;34534,00;0,20;2021,00
BOVESPA:FESA4;Cia de Ferro Ligas da Bahia - FERBASA (BOVESPA:FESA4);48,82;-104,60;0,00;642,91;3397,00;430,80;216,50;915,40;4394,90;4375,40;85,10;2370,00;1,00;0,00;0,02;0,16;0,00;1,85;0,06;0,19;214,00;0,13;2021,00
BOVESPA:GGBR4;Gerdau S.A. (BOVESPA:GGBR4);27,26;-5339,40;0,00;15558,94;73815,00;14982,70;4160,70;22210,00;43754,60;53617,80;1705,60;42816,00;1,00;0,00;0,12;0,34;0,00;1,02;0,06;0,21;10822,00;0,20;2021,00
BOVESPA:CSNA3;Companhia Siderúrgica Nacional (BOVESPA:CSNA3);24,99;-3290,50;-1516,40;13595,62;79379,00;33119,10;16646,50;20024,80;34489,10;50047,30;1380,10;23374,00;1,00;1,00;0,10;0,24;0,11;1,48;0,21;0,17;16473,00;0,42;2021,00
