No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"viagem ou viajem","74,000","R$0,33","1","77"
2,"viagem cvc","22,200","R$0,53","49","39"
3,"viagem ao centro da terra","22,200","R$0,23","72","85"
4,"viagem de chihiro","18,100","R$0,12","4","56"
5,"viagem ao centro da terra filme","14,800","R$0,48","1","91"
6,"viaje na viagem","14,800","R$1,67","1","80"
7,"viagem 2 a ilha misteriosa","12,100","R$0","1","90"
8,"viagem net","9,900","R$0,76","47","59"
9,"viagem maldita","9,900","R$1,32","1","78"
10,"viagem no tempo","9,900","R$0,26","1","76"
11,"viagem para gramado","8,100","R$0,96","58","70"
12,"viagem de avião","6,600","R$0,87","47","70"
13,"viagem internacional","6,600","R$0,87","40","60"
14,"viagem de onibus","6,600","R$0,85","47","43"
15,"viagem astral","6,600","R$1,08","9","59"
16,"viagem de cruzeiro","5,400","R$0,91","48","61"
17,"viagem ao fundo do mar","5,400","R$0,56","38","95"
18,"viagem para disney","4,400","R$0,92","55","52"
19,"viagem para portugal","4,400","R$0,84","54","72"
20,"viagem a lua","4,400","R$0","1","81"
21,"viagem para porto seguro","4,400","R$1,65","61","67"
22,"viagem para maldivas","3,600","R$0,76","51","53"
23,"viagem das amigas","3,600","R$1,69","1","77"
24,"viagem 3","2,900","R$1,43","1","87"
25,"viagem aerea","2,900","R$1,77","65","38"
26,"viagem barata","2,900","R$1,35","68","56"
27,"viagem para o chile","2,400","R$0,61","51","67"
28,"viagem em ingles","2,400","R$2,52","1","14"
29,"viagem em familia","2,400","R$0,99","12","51"
30,"viagem para natal","2,400","R$1,28","60","69"
31,"viagem gol","2,400","R$0,68","47","60"
32,"viagem para argentina","2,400","R$0,52","46","70"
33,"viagem e viajem","1,900","R$6,60","5","73"
34,"viagem de navio","1,900","R$1,04","40","64"
35,"viagem brasil","1,900","R$1,07","28","65"
36,"viagem cruzeiro","1,900","R$0,86","48","61"
37,"viagem 1","1,900","R$0","1","64"
38,"viagem cancun","1,900","R$1,45","56","35"
39,"viagem gramado","1,900","R$1,46","64","38"
40,"viagem chile","1,900","R$0,55","48","67"
41,"viagem viajem","1,600","R$0,13","15","23"
42,"viagem para arraial do cabo","1,600","R$1,50","61","71"
43,"viagem insolita","1,600","R$0","1","79"
44,"viagem ou viajem qual o correto","1,600","R$0,04","1","72"
45,"viagem e turismo","1,600","R$1,15","21","89"
